m,trial_idx,rng_seed,timed_out,repeat_after,max_value,cycle_length,cycle_min,cycle_max,distinct_tail_values,value_set
125,1524,14283130395907360952,0,29978,2087,6426,810,838,9,810;812;818;820;822;824;828;834;838
25,1349,2693555941762280232,0,2758,440,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
49,1122,14458834518640476852,0,9697,1730,51,392,406,4,392;396;402;406
16,672,15870976047516058386,0,126,217,17,112,118,3,112;114;118
25,313,3358032518949890832,0,1218,284,52,172,178,4,172;174;176;178
16,673,2313494230727957116,0,580,228,17,112,118,4,112;114;116;118
25,314,17274636224349905200,0,446,286,27,150,166,5,150;156;158;164;166
16,674,3586038904945062458,0,130,131,17,112,118,4,112;114;116;118
125,1757,5761954163810865740,0,10744,3235,127,1000,1030,4,1000;1008;1022;1030
25,1350,12188767944798745693,0,1117,427,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
16,675,11891202937787502325,0,124,134,17,112,118,3,112;114;118
25,315,9459937503538684473,0,599,429,52,172,178,4,172;174;176;178
16,676,14019476181208107758,0,272,240,17,112,118,4,112;114;116;118
16,677,15746126127957599457,0,128,189,17,112,118,3,112;114;118
49,798,7798670946737663350,0,5894,1068,50,300,314,4,300;306;310;314
49,634,8113400285321401728,0,3854,1284,50,350,358,4,350;354;356;358
16,678,7585105587594572940,0,176,270,17,112,118,3,112;114;118
125,44,995297112816555124,0,22054,3345,6426,810,838,9,810;812;818;820;822;824;828;834;838
25,1351,8293165376874210043,0,1526,498,52,172,178,4,172;174;176;178
16,679,2533722379503949292,0,248,118,18,62,67,4,62;64;65;67
25,1352,5795906022412256680,0,721,288,52,172,178,4,172;174;176;178
25,316,18252308435363354430,0,2463,379,26,180,194,3,180;190;194
16,680,11647949869998116799,0,690,212,287,66,82,8,66;68;70;72;74;76;78;82
16,681,2809235637234009208,0,98,118,17,112,118,4,112;114;116;118
25,1353,3790646172560982310,0,1092,694,52,172,178,4,172;174;176;178
49,334,9605997242182081787,0,4802,1502,51,198,214,5,198;204;206;212;214
25,317,5383260719427513994,0,771,320,27,150,166,5,150;156;158;164;166
49,1123,8432320726175847625,0,5875,2051,50,300,314,4,300;306;310;314
49,799,12709543144962833091,0,3809,1102,50,300,314,4,300;306;310;314
16,682,5667096235699046386,0,485,164,287,66,82,8,66;68;70;72;74;76;78;82
125,509,8176003320923175001,0,42899,3610,6426,810,838,9,810;812;818;820;822;824;828;834;838
49,335,5473855724024862109,0,746,1808,50,300,314,4,300;306;310;314
16,683,4601754084856700925,0,356,118,18,62,67,4,62;64;65;67
49,1124,12536571106507551667,0,1378,765,50,350,358,4,350;354;356;358
49,800,4634698476178709627,0,1179,823,50,300,314,4,300;306;310;314
16,684,379647977450858303,0,190,262,17,112,118,3,112;114;118
16,685,12379782049705376851,0,87,301,17,112,118,3,112;114;118
25,1354,11757821944997640857,0,2308,330,26,112,118,3,112;114;118
16,686,4602600371239293303,0,96,142,17,112,118,4,112;114;116;118
16,687,18301665504251616970,0,229,164,17,112,118,4,112;114;116;118
49,1125,3934796188626156807,0,1487,1163,50,350,358,4,350;354;356;358
25,1355,10435223103212018712,0,900,418,52,172,178,4,172;174;176;178
25,318,15189875242330247846,0,3115,478,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
16,688,17178708393806687446,0,616,155,17,112,118,3,112;114;118
49,336,18383590888011065321,0,3007,1239,50,350,358,4,350;354;356;358
25,319,7114456799765695076,0,602,279,27,150,166,5,150;156;158;164;166
49,635,368589322235836849,0,8720,984,50,300,314,4,300;306;310;314
16,689,33688290237969954,0,643,194,34,76,82,4,76;78;80;82
